Key_poliflw,Alt_map,Type,CBS CODE,CBS NAAM,CBS PROVINCIE CODE,CBS PROVINCIE NAAM
Beek,Beek,Gemeente,GM0888,Beek,PV31,Limburg
Beekdaelen,Beekdaelen,Gemeente,GM1954,Beekdaelen,PV31,Limburg
Beesel,Beesel,Gemeente,GM0889,Beesel,PV31,Limburg
Berg en Dal,Berg en Dal,Gemeente,GM1945,Berg en Dal,PV25,Gelderland
Bergeijk,Bergeijk,Gemeente,GM1724,Bergeijk,PV30,Noord-Brabant
Bergen (L.),Bergen (L.),Gemeente,GM0893,Bergen (L.),PV31,Limburg
Bergen (NH.),Bergen (NH.),Gemeente,GM0373,Bergen (NH.),PV27,Noord-Holland
Bergen op Zoom,Bergen op Zoom,Gemeente,GM0748,Bergen op Zoom,PV30,Noord-Brabant
Berkelland,Berkelland,Gemeente,GM1859,Berkelland,PV25,Gelderland
Bernheze,Bernheze,Gemeente,GM1721,Bernheze,PV30,Noord-Brabant
Best,Best,Gemeente,GM0753,Best,PV30,Noord-Brabant
Beuningen,Beuningen,Gemeente,GM0209,Beuningen,PV25,Gelderland
Beverwijk,Beverwijk,Gemeente,GM0375,Beverwijk,PV27,Noord-Holland
De Bilt,De Bilt,Gemeente,GM0310,De Bilt,PV26,Utrecht
Bladel,Bladel,Gemeente,GM1728,Bladel,PV30,Noord-Brabant
Blaricum,Blaricum,Gemeente,GM0376,Blaricum,PV27,Noord-Holland
Bloemendaal,Bloemendaal,Gemeente,GM0377,Bloemendaal,PV27,Noord-Holland
Bodegraven-Reeuwijk,Bodegraven-Reeuwijk,Gemeente,GM1901,Bodegraven-Reeuwijk,PV28,Zuid-Holland
Boekel,Boekel,Gemeente,GM0755,Boekel,PV30,Noord-Brabant
Borger-Odoorn,Borger-Odoorn,Gemeente,GM1681,Borger-Odoorn,PV22,Drenthe
Borne,Borne,Gemeente,GM0147,Borne,PV23,Overijssel
Borsele,Borsele,Gemeente,GM0654,Borsele,PV29,Zeeland
